timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/09/23 21:01:53.745, NVIDIA GeForce RTX 5080 Laptop GPU, 79 %, 5178 MiB, 16303 MiB, 69
2026/09/23 21:01:55.745, NVIDIA GeForce RTX 5080 Laptop GPU, 94 %, 5178 MiB, 16303 MiB, 70
2026/09/23 21:01:57.746, NVIDIA GeForce RTX 5080 Laptop GPU, 67 %, 5178 MiB, 16303 MiB, 69
2026/09/23 21:01:59.746, NVIDIA GeForce RTX 5080 Laptop GPU, 54 %, 5230 MiB, 16303 MiB, 69
2026/09/23 21:02:01.746, NVIDIA GeForce RTX 5080 Laptop GPU, 88 %, 5201 MiB, 16303 MiB, 69
2026/09/23 21:02:03.746, NVIDIA GeForce RTX 5080 Laptop GPU, 92 %, 5178 MiB, 16303 MiB, 69
2026/09/23 21:02:05.747, NVIDIA GeForce RTX 5080 Laptop GPU, 90 %, 5178 MiB, 16303 MiB, 69
2026/09/23 21:02:07.747, NVIDIA GeForce RTX 5080 Laptop GPU, 55 %, 5178 MiB, 16303 MiB, 69
2026/09/23 21:02:09.747, NVIDIA GeForce RTX 5080 Laptop GPU, 92 %, 5178 MiB, 16303 MiB, 70
2026/09/23 21:02:11.747, NVIDIA GeForce RTX 5080 Laptop GPU, 90 %, 5178 MiB, 16303 MiB, 69
2026/09/23 21:02:13.747, NVIDIA GeForce RTX 5080 Laptop GPU, 91 %, 5178 MiB, 16303 MiB, 71
2026/09/23 21:02:15.748, NVIDIA GeForce RTX 5080 Laptop GPU, 53 %, 5178 MiB, 16303 MiB, 69
2026/09/23 21:02:17.748, NVIDIA GeForce RTX 5080 Laptop GPU, 66 %, 5178 MiB, 16303 MiB, 69
2026/09/23 21:02:19.748, NVIDIA GeForce RTX 5080 Laptop GPU, 79 %, 5178 MiB, 16303 MiB, 70
2026/09/23 21:02:21.749, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5281 MiB, 16303 MiB, 69
2026/09/23 21:02:23.749, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5178 MiB, 16303 MiB, 71
2026/09/23 21:02:25.749, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5178 MiB, 16303 MiB, 71
2026/09/23 21:02:27.750, NVIDIA GeForce RTX 5080 Laptop GPU, 83 %, 5201 MiB, 16303 MiB, 71
2026/09/23 21:02:29.750, NVIDIA GeForce RTX 5080 Laptop GPU, 40 %, 5201 MiB, 16303 MiB, 70
2026/09/23 21:02:31.751, NVIDIA GeForce RTX 5080 Laptop GPU, 96 %, 5178 MiB, 16303 MiB, 69
2026/09/23 21:02:33.751, NVIDIA GeForce RTX 5080 Laptop GPU, 60 %, 5201 MiB, 16303 MiB, 70
2026/09/23 21:02:35.751, NVIDIA GeForce RTX 5080 Laptop GPU, 82 %, 5178 MiB, 16303 MiB, 71
2026/09/23 21:02:37.752, NVIDIA GeForce RTX 5080 Laptop GPU, 96 %, 5201 MiB, 16303 MiB, 70
